Price,Close,High,Low,Open,Volume
Ticker,MA,MA,MA,MA,MA
Date,,,,,
2018-01-02,145.6646270751953,147.10295855663477,144.9070976346838,145.76050706174595,3168900
2018-01-03,147.49609375,147.64950464202593,145.90433686459204,146.02898229989668,3732400
2018-01-04,149.404296875,150.928924874606,147.97556350226697,148.18650534474907,3247200
2018-01-05,152.5015106201172,152.5015106201172,149.7686891448776,149.7782727556342,2747700
2018-01-08,152.96250915527344,154.12458188749093,151.81963382121484,152.29983255623088,3143100
2018-01-09,153.18336486816406,153.76920779020347,152.26137703915964,153.3274185971494,2573900
2018-01-10,153.5291748046875,153.6348191364203,151.32987054980262,152.92411957253543,2416900
2018-01-11,154.5471954345703,154.74888539865128,153.12581094818614,153.75967694443392,2804000
2018-01-12,155.9013671875,156.08384510316606,153.90373812598236,155.1042353032521,3041000
2018-01-16,155.8629150390625,157.44757982075754,154.92172952461885,157.15945761913082,4673400
2018-01-17,157.8125762939453,157.98544086680914,156.429601093004,156.66008719015574,3136000
2018-01-18,158.9266357421875,159.4068346781479,157.6108953470988,158.30238298724242,4150600
2018-01-19,160.22314453125,160.338387561839,158.6192821860298,159.71413494014143,2947800
2018-01-22,161.6156768798828,161.66369968184694,159.70448073592394,159.98300419461478,2275900
2018-01-23,160.5688934326172,162.25918810504635,160.05027046930542,161.82701207195714,3035300
2018-01-24,160.39601135253906,161.44285596175962,159.37799215588012,161.28918881579074,3912400
2018-01-25,161.91342163085938,162.23995328520203,160.5112493953862,161.35638928577282,2088900
2018-01-26,163.59413146972656,163.61334352590413,162.1055121878243,162.3168008422623,2191600
2018-01-29,161.87501525878906,164.04550851690254,161.62530250876878,163.38283184108582,3082800
2018-01-30,160.5688934326172,161.34681322307893,159.7141400677942,160.78018209848406,4227100
2018-01-31,162.30718994140625,162.9506545571897,160.40560684890414,160.8761922810943,5815300
2018-02-01,166.08154296875,169.72145792662258,164.22798271264628,165.67817775220675,6848400
2018-02-02,163.79580688476562,170.09601253733234,163.67095051245136,165.09233479882218,6556500
2018-02-05,158.0718231201172,165.14996275475914,157.51479080413364,160.74172703343294,7196000
2018-02-06,162.57608032226562,162.65291387735346,150.5903241641077,154.14379182353167,7259900
2018-02-07,162.04788208007812,165.77422943763636,160.81857433099785,162.3071935339557,4364800
2018-02-08,154.25904846191406,162.53768523661833,154.10539599266124,162.08629721964883,6557700
2018-02-09,158.65769958496094,159.8966208438177,152.29027269966093,155.2674968234171,6303000
2018-02-12,161.5292510986328,162.13430618771065,159.02261314252758,160.1942992157723,5227400
2018-02-13,163.3828125,164.0070796466465,160.39597578955963,160.70331001335526,3471000
2018-02-14,165.6877899169922,165.82224498820784,162.30718642777978,162.65293013297767,4203700
2018-02-15,167.77188110351562,167.78147980515357,164.5737549173214,167.06118151063703,3915000
2018-02-16,168.6938018798828,169.6734113568781,167.24360704340583,167.44529695068493,4213100
2018-02-20,168.40570068359375,169.44291704573004,167.14756769963705,167.95431270446855,3750100
2018-02-21,165.49575805664062,169.36616006801134,165.45733393762274,168.40576225567105,5999500
2018-02-22,166.1007080078125,166.94586231058608,164.035859700672,166.47526236390541,5605800
2018-02-23,168.79945373535156,168.81866578797624,165.65896456557667,167.01311385831798,3093800
2018-02-26,170.8258819580078,171.0851933609523,169.08756499743834,169.51014220090303,4088100
2018-02-27,168.96275329589844,172.07444699003565,168.96275329589844,170.68187331388512,3815900
2018-02-28,168.79945373535156,171.88233605625717,168.78985503629042,169.3084632211378,4145700
2018-03-01,166.61936950683594,170.32650448654013,165.33242570430423,169.36610697526447,4658500
2018-03-02,168.0887908935547,168.38651180277637,162.5665047317207,164.76580877253878,4190100
2018-03-05,171.459716796875,172.170416024756,166.06228903805885,167.23397483441735,4826500
2018-03-06,170.49937438964844,172.95798975144928,169.94234205697427,172.0840244715034,3820900
2018-03-07,172.11288452148438,172.59308338894016,168.59782529462652,168.79950061243431,2766100
2018-03-08,172.15133666992188,172.76599078649602,170.52826175073906,172.2473823290313,2235300
2018-03-09,175.9833221435547,176.06975444025824,172.84281680607387,173.1117270543801,4168900
2018-03-12,175.31103515625,176.25223569748357,174.50430439620098,175.58955876797555,3589000
2018-03-13,173.84156799316406,176.45385069301517,173.01562545343901,176.2041525873326,3286600
2018-03-14,172.98678588867188,174.792337803778,172.50658715844173,174.78273910479422,2820700
2018-03-15,173.78396606445312,174.9556524657406,172.89080321099155,173.41902489263856,2258200
2018-03-16,175.32061767578125,175.91605960995892,173.84159688800764,173.84159688800764,4605000
2018-03-19,173.42861938476562,175.08050461027213,172.0168335855885,174.5906924016764,3770000
2018-03-20,175.2821807861328,175.99288036719415,174.04327418814725,174.12970646497055,2859300
2018-03-21,173.59182739257812,176.23292020214708,173.58222869434556,175.71431206206677,3238400
2018-03-22,168.56895446777344,173.12122873023148,168.17518801969126,172.10320983870292,4387300
2018-03-23,165.02513122558594,169.8655289707824,164.8618653823725,169.2028522424716,4324100
2018-03-26,170.15365600585938,170.44177824211312,166.20642093634854,168.3865277834448,5470100
2018-03-27,165.6877899169922,171.43096317963722,164.19917077920945,171.29650810842156,5069100
2018-03-28,163.6037139892578,166.08152655246124,161.87499562173028,165.42846331056325,5166600
2018-03-29,168.22325134277344,169.66384777882354,164.05512917154957,164.91948117137773,3719200
2018-04-02,164.80416870117188,168.80902334729512,162.3455395098733,167.72376979999723,4222400
2018-04-03,165.6397705078125,166.04313572973754,163.0851094477832,165.53412618865326,3612600
2018-04-04,166.81146240234375,167.11878201568464,161.28917617209828,162.48005982373792,4628300
2018-04-05,168.83787536621094,170.41292660479712,167.62776519513108,168.19441083048693,3434100
2018-04-06,163.21156311035156,168.45318088799092,162.49986620398346,166.74123988429034,5005500
2018-04-09,163.8270721435547,167.43369145637706,163.6347220486118,164.72152136432786,3910700
2018-04-10,168.0396270751953,168.7417116045286,165.44286381330826,166.52003620629887,3149900
2018-04-11,165.7698516845703,168.88597623874222,165.53902275172973,167.05861354000893,2783000
2018-04-12,168.1165771484375,169.73233580607987,166.5392826455788,166.70278098531352,3065600
2018-04-13,167.60684204101562,169.36687429161918,166.09686348393612,169.2706918919856,3059600
2018-04-16,167.22210693359375,169.36685384847988,166.35652414286523,168.90519599641078,4668200
2018-04-17,171.5211639404297,172.33867004800658,167.99148820574982,169.04943555962947,4210200
2018-04-18,172.59837341308594,172.9253700289943,170.29975538300138,171.67507244863592,3150600
2018-04-19,172.16558837890625,172.70418923451803,171.4442644570777,172.2329189891225,3560400
2018-04-20,170.3094024658203,172.62726037970197,169.75157682625291,171.70395922705185,4233000
2018-04-23,168.72250366210938,171.53087165403448,168.02041900181607,171.3481338728432,4355000
2018-04-24,166.6162109375,170.76141666130783,164.64458931395026,169.9246709459699,5369000
2018-04-25,165.8756561279297,167.22212162633988,164.12523630462314,166.7412389947115,3396200
2018-04-26,171.34811401367188,172.76191021701607,167.5587562809194,167.8472888138135,4784400
2018-04-27,169.21299743652344,172.1559970491927,168.48204638083465,171.7135785325719,3781000
2018-04-30,171.4539337158203,173.11778386272894,170.32866988175775,170.70375782644527,4323900
2018-05-01,173.358154296875,173.46394904185183,170.14586247720766,171.45386356266212,4828300
2018-05-02,178.7152557373047,181.05233864213042,176.1184773869976,179.0807166142725,10133100
2018-05-03,179.3500213623047,180.70611420182686,176.90714351714632,177.54191225165158,5785700
2018-05-04,180.9753875732422,181.57167740540655,178.03238789460866,178.68638130080507,3593600
2018-05-07,181.86978149414062,182.27372106446623,180.4559856603158,181.10036649931408,4077300
2018-05-08,183.24513244628906,183.3701666252754,180.83110694483827,181.66783801867467,3396400
2018-05-09,183.34133911132812,184.35118102017023,181.77365684558742,183.22591728645685,2933900
2018-05-10,185.6687774658203,186.31315839804472,183.63945227761465,183.7356199937746,2821200
2018-05-11,185.95733642578125,186.66903339305102,184.6974114890646,185.62071268289043,3301700
2018-05-14,184.7743377685547,187.2749333243596,184.2646033528163,186.10157852859902,2877200
2018-05-15,184.65892028808594,184.8512703949782,182.87964877974446,183.7067674472164,2747500
2018-05-16,185.0244140625,185.53414850009386,184.1203523277867,185.32255895897484,2109300
2018-05-17,183.88949584960938,185.08208993239282,183.30281851437977,184.70700210661465,2378300
