Price,Close,High,Low,Open,Volume
Ticker,TMO,TMO,TMO,TMO,TMO
Date,,,,,
2018-01-02,189.4499053955078,189.95058579755766,186.89747493396882,187.3097902782251,1140900
2018-01-03,192.92515563964844,193.07240576785486,187.6828263804926,188.69399885295624,1458300
2018-01-04,195.34017944335938,195.94884835832832,193.07243722153675,193.54365268823076,1566400
2018-01-05,198.68780517578125,198.9430437650237,195.565982125574,196.34152455651764,1469500
2018-01-08,199.0117645263672,199.522256669227,196.5378571967671,198.68779922299476,1974600
2018-01-09,202.32994079589844,203.13493323227988,199.67931831254705,201.00462955422276,1845200
2018-01-10,202.51644897460938,202.8404142717899,198.2656683586699,201.05371427543307,1421200
2018-01-11,204.8430938720703,204.9019939262801,202.19248657495413,203.16436742875158,1520600
2018-01-12,206.32546997070312,207.67040449453586,203.98900125367854,205.0688855295306,1486500
2018-01-16,204.2050018310547,207.9354938777564,203.71414800858525,207.9354938777564,2264300
2018-01-17,207.6115264892578,207.7980533366853,204.48970339969156,205.72664962731162,1461700
2018-01-18,208.52452087402344,209.16262484040277,206.66909405615297,207.53298658268153,1458500
2018-01-19,209.60433959960938,210.64496201669033,208.4753820921496,210.03629324827205,1439900
2018-01-22,211.38125610351562,211.39106778537172,208.8778991008534,210.0952067563543,1230300
2018-01-23,210.6253662109375,213.24652367594567,210.33085093831062,211.63652382921023,1267000
2018-01-24,211.38125610351562,212.7065521781013,209.10368762087904,211.0867408714965,1227400
2018-01-25,213.89442443847656,214.73869344639598,211.0769138650206,212.4120365989474,1668400
2018-01-26,215.75973510742188,215.75973510742188,212.76552337669506,214.17918497937734,1162000
2018-01-29,214.80743408203125,216.07384525414582,214.59145721515387,215.38663796153472,1042800
2018-01-30,210.6940460205078,212.3236839663465,208.6520927473485,212.0389953997442,1921700
2018-01-31,220.01051330566406,221.86594025997883,215.6811787523727,219.37240929235983,3414200
2018-02-01,218.2925262451172,222.29789548572228,215.5928300518886,220.05960311298278,1912800
2018-02-02,213.70794677734375,216.74141990662932,213.58031998573503,216.0836775600628,1992400
2018-02-05,204.49954223632812,215.24923927271186,204.00868835357386,212.74589645440255,2387600
2018-02-06,205.64804077148438,207.23841678181412,197.93182080323575,201.24999626688486,2415300
2018-02-07,203.75340270996094,207.33662923534828,202.35937980217824,204.52894507469625,1653000
