date,total_value,cash,positions
2026-01-20,99860.0,7860.000000000002,"{'AAPL': 48.687590376222005, 'MSFT': 26.461739644573807, 'GOOGL': 27.969985225544235, 'AMZN': 38.96103896103896, 'NVDA': 44.92858393996451, 'TLT': 175.04683380673887, 'BND': 204.88137632165777, 'BTC-USD': 0.13588355628498602, 'ETH-USD': 0.0}"
2026-01-21,100359.35467775218,7860.000000000002,"{'AAPL': 48.687590376222005, 'MSFT': 26.461739644573807, 'GOOGL': 27.969985225544235, 'AMZN': 38.96103896103896, 'NVDA': 44.92858393996451, 'TLT': 175.04683380673887, 'BND': 204.88137632165777, 'BTC-USD': 0.13588355628498602, 'ETH-USD': 0.0}"
2026-01-22,100909.2053804394,7860.000000000002,"{'AAPL': 48.687590376222005, 'MSFT': 26.461739644573807, 'GOOGL': 27.969985225544235, 'AMZN': 38.96103896103896, 'NVDA': 44.92858393996451, 'TLT': 175.04683380673887, 'BND': 204.88137632165777, 'BTC-USD': 0.13588355628498602, 'ETH-USD': 0.0}"
2026-01-23,101590.52050949523,7860.000000000002,"{'AAPL': 48.687590376222005, 'MSFT': 26.461739644573807, 'GOOGL': 27.969985225544235, 'AMZN': 38.96103896103896, 'NVDA': 44.92858393996451, 'TLT': 175.04683380673887, 'BND': 204.88137632165777, 'BTC-USD': 0.13588355628498602, 'ETH-USD': 0.0}"
2026-01-26,102052.47749532129,7860.000000000002,"{'AAPL': 48.687590376222005, 'MSFT': 26.461739644573807, 'GOOGL': 27.969985225544235, 'AMZN': 38.96103896103896, 'NVDA': 44.92858393996451, 'TLT': 175.04683380673887, 'BND': 204.88137632165777, 'BTC-USD': 0.13588355628498602, 'ETH-USD': 0.0}"
2026-01-27,102841.71547934655,7860.000000000002,"{'AAPL': 48.687590376222005, 'MSFT': 26.461739644573807, 'GOOGL': 27.969985225544235, 'AMZN': 38.96103896103896, 'NVDA': 44.92858393996451, 'TLT': 175.04683380673887, 'BND': 204.88137632165777, 'BTC-USD': 0.13588355628498602, 'ETH-USD': 0.0}"
2026-01-28,102861.37949360286,7860.000000000002,"{'AAPL': 48.687590376222005, 'MSFT': 26.461739644573807, 'GOOGL': 27.969985225544235, 'AMZN': 38.96103896103896, 'NVDA': 44.92858393996451, 'TLT': 175.04683380673887, 'BND': 204.88137632165777, 'BTC-USD': 0.13588355628498602, 'ETH-USD': 0.0}"
2026-01-29,101114.69687838436,7860.000000000002,"{'AAPL': 48.687590376222005, 'MSFT': 26.461739644573807, 'GOOGL': 27.969985225544235, 'AMZN': 38.96103896103896, 'NVDA': 44.92858393996451, 'TLT': 175.04683380673887, 'BND': 204.88137632165777, 'BTC-USD': 0.13588355628498602, 'ETH-USD': 0.0}"
2026-01-30,100774.91949856683,7860.000000000002,"{'AAPL': 48.687590376222005, 'MSFT': 26.461739644573807, 'GOOGL': 27.969985225544235, 'AMZN': 38.96103896103896, 'NVDA': 44.92858393996451, 'TLT': 175.04683380673887, 'BND': 204.88137632165777, 'BTC-USD': 0.13588355628498602, 'ETH-USD': 0.0}"
2026-02-02,100360.51200641348,7860.000000000002,"{'AAPL': 48.687590376222005, 'MSFT': 26.461739644573807, 'GOOGL': 27.969985225544235, 'AMZN': 38.96103896103896, 'NVDA': 44.92858393996451, 'TLT': 175.04683380673887, 'BND': 204.88137632165777, 'BTC-USD': 0.13588355628498602, 'ETH-USD': 0.0}"
2026-02-03,99122.00194043794,7860.000000000002,"{'AAPL': 48.687590376222005, 'MSFT': 26.461739644573807, 'GOOGL': 27.969985225544235, 'AMZN': 38.96103896103896, 'NVDA': 44.92858393996451, 'TLT': 175.04683380673887, 'BND': 204.88137632165777, 'BTC-USD': 0.13588355628498602, 'ETH-USD': 0.0}"
2026-02-04,98460.06937297655,7860.000000000002,"{'AAPL': 48.687590376222005, 'MSFT': 26.461739644573807, 'GOOGL': 27.969985225544235, 'AMZN': 38.96103896103896, 'NVDA': 44.92858393996451, 'TLT': 175.04683380673887, 'BND': 204.88137632165777, 'BTC-USD': 0.13588355628498602, 'ETH-USD': 0.0}"
