date,total_value,cash,positions
2025-12-22,99860.0,7860.000000000002,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63228678828642, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 0.0}"
2025-12-23,100364.76488178977,7860.000000000002,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63228678828642, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 0.0}"
2025-12-24,100588.02486510585,7860.000000000002,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63228678828642, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 0.0}"
2025-12-26,100542.57902508434,7860.000000000002,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63228678828642, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 0.0}"
2025-12-29,100483.35232878588,7860.000000000002,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63228678828642, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 0.0}"
2025-12-30,100592.64485346807,7860.000000000002,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63228678828642, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 0.0}"
2025-12-31,100020.07546901438,7860.000000000002,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63228678828642, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 0.0}"
2026-01-02,100014.67105253051,7860.000000000002,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63228678828642, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 0.0}"
2026-01-05,100749.63408872062,7860.000000000002,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63228678828642, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 0.0}"
2026-01-06,100828.8054706788,7860.000000000002,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63228678828642, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 0.0}"
2026-01-07,100965.3503249176,7860.000000000002,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63228678828642, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 0.0}"
2026-01-08,100745.2189094306,7860.000000000002,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63228678828642, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 0.0}"
2026-01-09,100977.13435752952,7860.000000000002,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63228678828642, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 0.0}"
2026-01-12,101060.72361660264,7860.000000000002,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63228678828642, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 0.0}"
2026-01-13,101537.6867501664,7860.000000000002,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63228678828642, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 0.0}"
2026-01-14,101191.50774647672,7860.000000000002,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63228678828642, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 0.0}"
2026-01-15,100975.74727479092,7860.000000000002,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63228678828642, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 0.0}"
2026-01-16,100741.38783016705,7860.000000000002,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63228678828642, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 0.0}"
2026-01-20,98079.99343097035,7860.000000000002,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63228678828642, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 0.0}"
2026-01-21,98591.11959779478,7860.000000000002,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63228678828642, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 0.0}"
2026-01-22,99127.33987602888,7860.000000000002,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63228678828642, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 0.0}"
2026-01-23,99780.46957139281,7860.000000000002,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63228678828642, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 0.0}"
2026-01-26,100210.0795338709,7860.000000000002,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63228678828642, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 0.0}"
2026-01-27,100971.71690219978,7860.000000000002,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63228678828642, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 0.0}"
2026-01-28,100994.63610642348,7860.000000000002,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63228678828642, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 0.0}"
2026-01-29,99321.38453442726,7860.000000000002,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63228678828642, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 0.0}"
2026-01-30,98983.06392551845,7860.000000000002,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63228678828642, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 0.0}"
2026-02-02,98551.56664705601,7860.000000000002,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63228678828642, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 0.0}"
2026-02-03,97336.98390632748,7860.000000000002,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63228678828642, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 0.0}"
