date,total_value,cash,positions
2025-12-22,99860.0,7860.000000000002,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63226548988126, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 0.0}"
2025-12-23,100364.76332078008,7860.000000000002,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63226548988126, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 0.0}"
2025-12-24,100588.02330029964,7860.000000000002,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63226548988126, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 0.0}"
2025-12-26,100542.57746027815,7860.000000000002,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63226548988126, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 0.0}"
2025-12-29,100483.35076165976,7860.000000000002,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63226548988126, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 0.0}"
2025-12-30,100592.6432869747,7860.000000000002,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63226548988126, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 0.0}"
2025-12-31,100020.07390673936,7860.000000000002,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63226548988126, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 0.0}"
2026-01-02,100014.67105210852,7860.000000000002,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63226548988126, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 0.0}"
2026-01-05,100749.63408534578,7860.000000000002,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63226548988126, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 0.0}"
2026-01-06,100828.80546730396,7860.000000000002,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63226548988126, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 0.0}"
2026-01-07,100965.34875863514,7860.000000000002,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63226548988126, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 0.0}"
2026-01-08,100745.21734589007,7860.000000000002,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63226548988126, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 0.0}"
2026-01-09,100977.13279061431,7860.000000000002,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63226548988126, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 0.0}"
2026-01-12,101060.72205116368,7860.000000000002,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63226548988126, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 0.0}"
2026-01-13,101537.6851834621,7860.000000000002,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63226548988126, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 0.0}"
2026-01-14,101191.50617660851,7860.000000000002,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63226548988126, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 0.0}"
2026-01-15,100975.74570724311,7860.000000000002,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63226548988126, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 0.0}"
2026-01-16,100741.38626515008,7860.000000000002,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63226548988126, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 0.0}"
2026-01-20,98079.99031042788,7860.000000000002,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63226548988126, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 0.0}"
